Publication Date,FSIA
2019-10-29,100.2501379806469
2019-11-20,100.2501379806469
2020-01-03,99.92007299129031
2020-02-19,99.99869747418334
2020-03-15,102.69799455491508
2020-03-15,102.69799455491508
2020-05-20,102.3745414084201
2020-07-01,101.00506473600976
2020-08-19,100.47255063522178
2020-10-07,99.26669551584497
2020-11-25,100.03270624100195
2021-01-06,99.83526578604416
2021-02-17,99.44363342904444
2021-04-07,99.18045960850904
2021-05-19,100.03187956688075
2021-07-07,99.06828555716972
2021-08-18,100.0475347080508
2021-10-13,99.26009724651756
2021-11-24,99.67593109396148
2022-01-05,98.75542279500817
2022-02-16,98.8076871606508
2022-04-06,100.01521078347666
2022-05-25,100.38535617540475
2022-07-06,101.48738458377287
2022-08-17,101.04774886881358
2022-10-12,101.30267139060429
