Publication Date,FSIA
2015-07-08,100.14780410832702
2015-08-05,100.4968014584537
2015-09-09,100.54251024366691
2015-10-06,99.37155794414764
2015-11-04,101.25317520695509
2015-12-09,99.58777230014537
2016-01-13,101.20615353063911
2016-02-03,102.11742257195755
2016-03-16,100.34591331801869
2016-04-13,99.38691819558585
2016-05-11,100.46178096311226
2016-06-15,100.53903504548626
2016-07-13,99.7226592345807
2016-08-03,101.70391057780625
2016-09-15,100.21660090168322
2016-11-02,100.74014736468894
2016-12-14,100.38854879587011
2017-02-01,100.41436198584908
2017-03-15,100.43821797213401
2017-05-10,100.43934805481764
2017-06-14,99.6516804243234
2017-08-02,99.67534002774251
2017-09-14,99.40204746579943
2017-11-01,100.25877305908271
2017-12-14,99.24485065821447
2018-02-07,99.78609817122094
